#{"t_start": 1735027290.5061884, "env_id": "GraspEnv_v3"}
r,l,t
-7.06525,9,5.181715
-8.301376,9,5.188714
-6.118903,9,5.195699
0.593929,2,5.198712
-6.472361,9,5.251433
-7.239097,9,5.258433
-8.511736,9,5.266432
-3.527955,9,5.273455
0.962791,1,5.275426
-7.946675,9,5.283459
-8.843772,9,5.290433
-8.837409,9,5.296436
-3.170786,9,5.303433
-3.606557,9,5.311428
-7.018997,9,5.366124
-8.405678,9,5.374123
-3.486834,9,5.382131
-8.254025,9,5.390123
-6.01161,9,5.39713
-3.28173,9,5.40413
-5.149023,9,5.411121
-8.54772,9,5.41813
0.482487,2,5.420192
-6.091315,9,5.427172
-8.55152,9,5.479815
-5.620796,9,5.486813
0.9282,1,5.488824
-6.618003,9,5.495816
-6.632439,9,5.502807
-5.234184,9,5.509815
-5.616791,9,5.516816
-2.514631,9,5.523887
-8.910157,9,5.530895
-3.412109,9,5.53747
-8.175928,9,5.588478
0.984707,1,5.590491
-4.500352,9,5.598478
-2.62934,9,5.605482
-3.304468,9,5.612479
0.979396,1,5.614482
0.929756,1,5.616483
-8.441201,9,5.622535
-2.633168,9,5.629527
-1.570459,4,5.63352
-2.594937,9,5.697643
-6.177529,9,5.70466
0.995473,1,5.706637
-7.835826,9,5.714631
-4.935214,9,5.722658
-7.054101,9,5.72967
-6.629404,9,5.736309
-7.847882,9,5.743302
-8.94382,9,5.750293
0.902063,1,5.752301
0.724973,2,6.924573
0.885296,1,6.927575
-6.213902,9,6.934598
0.619132,2,6.936249
-8.642107,9,6.944324
-7.597769,9,6.951405
-8.92964,9,6.958401
-5.000231,9,6.964434
-8.465123,9,6.972324
-4.006098,9,6.981401
-4.814685,9,8.02391
-8.847481,9,8.030901
-6.811195,9,8.038093
-7.38551,9,8.045058
-7.976066,9,8.052076
-7.966405,9,8.059058
-6.461645,9,8.067068
-8.041663,9,8.073079
-8.215883,9,8.080067
-5.794367,9,8.087071
-4.557671,9,9.058271
-6.743159,9,9.065285
-7.959603,9,9.072265
-4.23068,9,9.078272
-7.433702,9,9.085264
-6.027301,9,9.093282
-5.602744,9,9.100271
-8.983971,9,9.107273
0.932486,1,9.109264
-8.956053,9,9.116293
-8.209093,9,10.054303
-1.762648,9,10.061301
-4.806353,9,10.068304
-2.726187,9,10.075303
-2.812059,9,10.082301
0.889455,1,10.083311
-7.276553,9,10.090301
-8.704647,9,10.097301
-8.618416,9,10.105301
-8.940976,9,10.112293
-3.713862,9,11.045127
-8.697539,9,11.053127
-6.115968,9,11.060132
-7.376013,9,11.06812
-3.190653,9,11.07512
0.880665,1,11.076134
-8.740022,9,11.083127
-8.949598,9,11.09113
-4.973182,9,11.09712
-8.651121,9,11.10412
-6.245651,9,12.050724
-4.876605,9,12.057722
-5.257081,9,12.066733
-8.298149,9,12.074735
-8.384956,9,12.081736
-7.957721,9,12.088736
-1.975761,9,12.096736
-2.642598,9,12.104731
-6.069457,9,12.111731
-6.536197,9,12.118734
-6.791595,9,13.082084
-2.490374,9,13.089084
-6.284368,9,13.096099
-5.344385,9,13.103084
-8.927132,9,13.110084
0.992834,1,13.112095
-7.575391,9,13.119084
-7.812416,9,13.126091
-5.831523,9,13.134128
-6.600356,9,13.14013
-5.36113,9,14.204117
-8.321782,9,14.211117
-8.33679,9,14.220127
-5.393601,9,14.227196
-4.033759,9,14.2342
-8.548673,9,14.241259
-2.428412,9,14.249814
-8.127421,9,14.260974
-5.823705,9,14.271972
-8.145017,9,14.279973
-6.775626,9,15.400584
-5.914741,9,15.408581
-5.068954,9,15.415563
-6.616332,9,15.427567
-8.993197,9,15.438631
-6.073958,9,15.447615
-7.542885,9,15.454724
-5.519689,9,15.461726
-8.086435,9,15.469762
-5.307161,9,15.477732
-7.168294,9,16.479629
-7.064839,9,16.487632
-8.652683,9,16.494638
-8.53776,9,16.501655
-7.449016,9,16.508657
-8.229049,9,16.515632
-7.988722,9,16.522648
-4.683564,9,16.530638
-8.152507,9,16.53764
-8.010026,9,16.544705
-8.814039,9,17.633799
0.884081,1,17.635793
-4.425977,9,17.642945
-8.814387,9,17.651925
-8.950642,9,17.661131
-7.056275,9,17.668208
-3.611899,9,17.676211
-7.788505,9,17.683211
-7.117116,9,17.690169
-5.052527,9,17.699162
-5.671371,9,18.7768
-8.0975,9,18.786808
-7.563386,9,18.7938
-4.052209,9,18.800801
-8.821816,9,18.807801
-4.482645,9,18.815833
-8.900567,9,18.825802
-7.027444,9,18.832798
-8.877201,9,18.839835
0.988082,1,18.841965
-5.778024,9,19.900874
-3.376946,9,19.9089
-8.538254,9,19.91687
-5.221168,9,19.923866
-8.741429,9,19.930866
-3.882252,9,19.938821
-2.429672,9,19.946061
-4.482558,9,19.953064
-7.840692,9,19.959935
-6.913928,9,19.969927
-8.396046,9,20.970777
-6.512105,9,20.977779
0.947448,1,20.979795
-7.961878,9,20.988783
-6.266987,9,20.995813
-4.417527,9,21.002779
-5.468515,9,21.01078
-6.073879,9,21.018789
-7.022013,9,21.02578
-7.926074,9,21.032773
-8.010377,9,22.139062
-7.504014,9,22.147124
-7.296007,9,22.15415
-3.722169,9,22.161738
-6.495492,9,22.170739
-7.899011,9,22.178723
0.855697,1,22.180737
-7.758295,9,22.188727
-7.096135,9,22.195727
-2.194838,9,22.203734
-5.150773,9,23.284588
0.964033,1,23.286577
-4.921789,9,23.293596
-5.566142,9,23.300584
-5.826875,9,23.308583
-7.291274,9,23.316619
-6.206829,9,23.324573
-8.990946,9,23.331575
-4.179949,9,23.339584
-8.69791,9,23.347632
-6.793486,9,24.374553
-7.256387,9,24.381584
-7.391616,9,24.388542
-8.799562,9,24.395546
-8.882487,9,24.404553
-5.139295,9,24.411573
-7.522468,9,24.419586
-2.796013,9,24.426553
-5.570126,9,24.435558
-8.862529,9,24.442567
-8.882361,9,25.566074
-5.85689,9,25.574278
-2.252607,9,25.58128
-6.792342,9,25.588275
-5.290219,9,25.596281
-3.846821,9,25.603298
-8.647489,9,25.610269
-4.604195,9,25.618275
-6.58363,9,25.62528
-6.610097,9,25.632285
-6.813165,9,26.586516
-8.924404,9,26.593533
0.982016,1,26.595512
-8.327034,9,26.602509
-8.486811,9,26.610535
-5.129272,9,26.618517
-1.823669,9,26.627517
-8.008781,9,26.634507
-7.450377,9,26.642509
-8.218678,9,26.650516
0.987049,1,27.584177
-8.964083,9,27.591165
0.888677,1,27.593182
-7.327675,9,27.601181
-8.927029,9,27.608163
-5.830232,9,27.615165
-8.094347,9,27.623181
-7.729475,9,27.63022
-8.186788,9,27.637174
-8.919373,9,27.644172
-8.220366,9,28.698294
-6.058281,9,28.706301
-8.027327,9,28.715301
-6.97255,9,28.724297
-3.91651,9,28.734297
-7.351072,9,28.741295
-2.766195,9,28.749295
0.942678,1,28.752296
-7.985351,9,28.759366
-6.914386,9,28.767354
-8.119928,9,29.840183
-7.783929,9,29.847197
-1.893898,9,29.85419
-7.362831,9,29.861243
-4.928456,9,29.869263
-8.957289,9,29.876355
-8.065752,9,29.884355
-7.607212,9,29.891367
-8.530653,9,29.899355
-7.993424,9,29.906346
-7.405617,9,30.870569
-5.995954,9,30.877676
-8.243715,9,30.884667
-7.271586,9,30.891684
-6.765368,9,30.898666
-6.480494,9,30.905654
-8.822925,9,30.912654
-7.053511,9,30.921666
-7.708385,9,30.928666
-6.451318,9,30.935666
-8.692602,9,31.903366
-8.738684,9,31.910368
-7.439298,9,31.917368
-3.388354,9,31.924397
-8.305817,9,31.931368
-6.563734,9,31.939361
-8.758134,9,31.946368
0.855265,1,31.948368
-3.477976,9,31.955368
-3.651393,9,31.962362
-8.753425,9,32.937586
-6.406952,9,32.944586
-8.573049,9,32.95159
-5.175461,9,32.958595
-3.595561,9,32.965627
-7.943929,9,32.973624
-7.392872,9,32.982272
-5.897187,9,32.989265
-7.877496,9,32.996277
-7.801606,9,33.003266
-8.747152,9,33.947643
-4.86525,9,33.954643
0.873916,1,33.956657
-4.638514,9,33.963651
-4.171762,9,33.972697
-5.277646,9,33.980697
-8.838829,9,33.988339
-7.686347,9,33.995341
-6.097417,9,34.002342
-6.098396,9,34.009332
-7.125836,9,34.954562
-6.376607,9,34.962568
-6.143182,9,34.969619
-6.79071,9,34.977622
-5.397591,9,34.984903
-8.442158,9,34.991906
-3.441519,9,34.9989
-3.352461,9,35.005903
-5.202536,9,35.012893
0.880375,1,35.014896
-8.756835,9,35.964309
-3.960092,9,35.97133
-2.443153,9,35.979323
-7.633219,9,35.986597
0.835163,1,35.988605
-5.401839,9,35.995591
-4.390108,9,36.002614
-5.447643,9,36.009594
-7.895557,9,36.016592
-4.455066,9,36.023594
-4.772412,9,36.970628
-8.109622,9,36.978685
-7.460161,9,36.985671
-3.106346,9,36.993357
0.856087,1,36.995332
0.953991,1,36.99733
-2.897787,9,37.004332
-2.729623,9,37.011327
-6.125174,9,37.020331
-5.132464,9,37.027363
-5.047902,9,37.988788
-8.957684,9,37.996066
-8.247548,9,38.003073
0.948633,1,38.005051
-8.134481,9,38.012064
-7.371835,9,38.018053
-4.593925,9,38.025048
-7.348288,9,38.032055
-8.25938,9,38.039048
-8.228305,9,38.046048
-5.075069,9,39.004285
-8.328061,9,39.011297
-8.39981,9,39.018283
0.840528,1,39.020285
-8.697924,9,39.028285
-8.590723,9,39.035313
-8.956504,9,39.04229
-6.747788,9,39.049303
-7.747725,9,39.056319
-2.687667,9,39.063274
-7.411575,9,40.044087
-7.603733,9,40.051086
-8.114359,9,40.058107
-8.81286,9,40.065091
-3.865873,9,40.072084
-6.801134,9,40.079145
-8.996558,9,40.087146
-8.998519,9,40.094327
-2.29981,9,40.102339
-6.225198,9,40.110339
-2.56954,9,41.171618
-8.451819,9,41.18173
-6.018637,9,41.189736
-7.391517,9,41.197345
-6.545468,9,41.205345
-6.278744,9,41.213393
-2.934099,9,41.221345
-8.3516,9,41.229358
-7.212584,9,41.236345
-8.737802,9,41.245347
0.955198,1,42.236927
-7.694996,9,42.243948
0.881358,1,42.245913
-4.472423,9,42.25391
-8.300518,9,42.260916
-3.240852,9,42.267919
-7.099583,9,42.274912
-7.087145,9,42.281929
-5.819726,9,42.289985
-5.90957,9,42.296994
-8.076776,9,43.251935
-8.764518,9,43.259942
-3.00813,9,43.272942
0.962971,1,43.274944
0.893007,1,43.276944
-8.510524,9,43.283944
0.971735,1,43.286005
-3.868578,9,43.292991
-8.586529,9,43.301196
0.961756,1,43.30319
-8.235305,9,44.334191
0.979451,1,44.336195
-4.442229,9,44.345191
-3.092204,9,44.354222
-7.522949,9,44.363191
-6.285066,9,44.372227
-8.22716,9,44.381191
-5.014387,9,44.388263
-8.287205,9,44.396267
-7.361364,9,44.405385
-8.876068,9,45.436498
-7.927931,9,45.443475
-8.991984,9,45.449482
-5.232672,9,45.456472
0.829435,1,45.458484
-8.870322,9,45.465473
-5.415681,9,45.473488
-7.898647,9,45.480484
-6.010226,9,45.487484
-2.480365,9,45.494557
-6.137692,9,46.475776
-6.291093,9,46.483765
-5.132339,9,46.491758
-5.310866,9,46.497804
