time/fps,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef
,3500,,,10.6,-6.8331094000000006,,,,,,
455,3521,452,7,,,,,,,,
459,3556,456,7,,,,,,,,
462,3586,460,7,,,,,,,,
,3600,,,8.3,-4.7144639,,,,,,
456,3619,464,7,,,,,,,,
458,3635,468,7,,,,,,,,
461,3666,472,7,,,,,,,,
463,3688,476,7,,,,,,,,
,3700,,,12.0,-8.775536399999998,,,,,,
451,3708,480,8,,,,,,,,
453,3729,484,8,,,,,,,,
457,3762,488,8,,,,,,,,
,3800,,,11.3,-8.4006527,,,,,,
449,3805,492,8,,,,,,,,
453,3844,496,8,,,,,,,,
456,3880,500,8,,,,,,,,
458,3899,504,8,,,,,,,,
,3900,,,8.5,-4.9656685,,,,,,
451,3923,508,8,,,,,,,,
452,3931,512,8,,,,,,,,
454,3955,516,8,,,,,,,,
456,3978,520,8,,,,,,,,
,4000,,,8.8,-5.1554003,,,,,,
450,4012,524,8,,,,,,,,
454,4050,528,8,,,,,,,,
457,4085,532,8,,,,,,,,
,4100,,,9.7,-7.383338400000001,,,,,,
451,4130,536,9,,,,,,,,
454,4159,540,9,,,,,,,,
457,4194,544,9,,,,,,,,
,4200,,,5.8,-2.7379246000000004,,,,,,
453,4221,548,9,,,,,,,,
456,4254,552,9,,,,,,,,
458,4277,556,9,,,,,,,,
459,4291,560,9,,,,,,,,
459,4295,564,9,,,,,,,,
,4300,,,9.8,-6.8987840999999985,,,,,,
452,4326,568,9,,,,,,,,
453,4339,572,9,,,,,,,,
456,4367,576,9,,,,,,,,
,4400,,,10.2,-5.9623541,,,,,,
449,4406,580,9,,,,,,,,
451,4430,584,9,,,,,,,,
454,4465,588,9,,,,,,,,
457,4496,592,9,,,,,,,,
,4500,,,8.0,-4.1361161,,,,,,
451,4521,596,10,,,,,,,,
452,4538,600,10,,,,,,,,
455,4573,604,10,,,,,,,,
,4600,,,9.7,-6.863222299999999,,,,,,
448,4602,608,10,,,,,,,,
451,4634,612,10,,,,,,,,
454,4668,616,10,,,,,,,,
455,4688,620,10,,,,,,,,
,4700,,,8.4,-4.489686900000001,,,,,,
449,4715,624,10,,,,,,,,
453,4767,628,10,,,,,,,,
456,4798,632,10,,,,,,,,
,4800,,,10.8,-7.1786794,,,,,,
449,4843,636,10,,,,,,,,
452,4873,640,10,,,,,,,,
454,4899,644,10,,,,,,,,
,4900,,,5.9,-2.7825619999999995,,,,,,
451,4935,648,10,,,,,,,,
453,4964,652,10,,,,,,,,
455,4986,656,10,,,,,,,,
,5000,,,8.8,-5.1226743,,,,,,
450,5030,660,11,,,,,,,,
451,5047,664,11,,,,,,,,
454,5084,668,11,,,,,,,,
,5100,,,10.1,-6.4164620999999995,,,,,,
447,5108,672,11,,,,,,,,
452,5164,676,11,,,,,,,,
453,5187,680,11,,,,,,,,
,5200,,,8.2,-4.2332815,,,,,,
448,5216,684,11,,,,,,,,
451,5254,688,11,,,,,,,,
453,5280,692,11,,,,,,,,
,5300,,,8.9,-5.3848647,,,,,,
449,5334,696,11,,,,,,,,
450,5352,700,11,,,,,,,,
,5400,,,4.8,-1.8273142999999998,,,,,,
449,5401,704,12,,,,,,,,
451,5432,708,12,,,,,,,,
452,5453,712,12,,,,,,,,
455,5492,716,12,,,,,,,,
,5500,,,9.1,-5.5136512,,,,,,
450,5531,720,12,,,,,,,,
453,5567,724,12,,,,,,,,
,5600,,,9.3,-6.483351800000001,,,,,,
448,5606,728,12,,,,,,,,
451,5651,732,12,,,,,,,,
453,5680,736,12,,,,,,,,
,5700,,,7.4,-4.4138535,,,,,,
450,5720,740,12,,,,,,,,
450,5735,744,12,,,,,,,,
452,5756,748,12,,,,,,,,
453,5784,752,12,,,,,,,,
,5800,,,9.6,-5.9600922,,,,,,
449,5827,756,12,,,,,,,,
451,5860,760,12,,,,,,,,
452,5883,764,12,,,,,,,,
,5900,,,10.9,-6.2079887,,,,,,
446,5917,768,13,,,,,,,,
448,5946,772,13,,,,,,,,
449,5967,776,13,,,,,,,,
451,5998,780,13,,,,,,,,
,6000,,,7.5,-4.3404188,,,,,,
448,6040,784,13,,,,,,,,
450,6075,788,13,,,,,,,,
,6100,,,13.0,-10.1134719,,,,,,
444,6119,792,13,,,,,,,,
447,6168,796,13,,,,,,,,
,6200,,,8.4,-5.043515,,,,,,
444,6213,800,13,,,,,,,,
445,6241,804,13,,,,,,,,
446,6254,808,14,,,,,,,,
449,6298,812,14,,,,,,,,
,6300,,,10.8,-7.130614999999999,,,,,,
444,6335,816,14,,,,,,,,
445,6358,820,14,,,,,,,,
446,6379,824,14,,,,,,,,
,6400,,,8.3,-6.036917900000001,,,,,,
442,6407,828,14,,,,,,,,
444,6440,832,14,,,,,,,,
446,6471,836,14,,,,,,,,
447,6490,840,14,,,,,,,,
,6500,,,8.2,-5.469144000000001,,,,,,
442,6520,844,14,,,,,,,,
444,6548,848,14,,,,,,,,
446,6585,852,14,,,,,,,,
,6600,,,11.9,-8.97578,,,,,,
440,6613,856,15,,,,,,,,
442,6650,860,15,,,,,,,,
443,6676,864,15,,,,,,,,
,6700,,,11.0,-6.6098479999999995,,,,,,
438,6705,868,15,,,,,,,,
439,6733,872,15,,,,,,,,
440,6756,876,15,,,,,,,,
442,6786,880,15,,,,,,,,
,6800,,,6.7,-2.9497103,,,,,,
439,6818,884,15,,,,,,,,
442,6858,888,15,,,,,,,,
444,6898,892,15,,,,,,,,
,6900,,,7.6,-4.5785466999999995,,,,,,
441,6936,896,15,,,,,,,,
442,6961,900,15,,,,,,,,
444,6995,904,15,,,,,,,,
,7000,,,10.9,-6.738471200000001,,,,,,
440,7036,908,15,,,,,,,,
441,7064,912,15,,,,,,,,
442,7085,916,16,,,,,,,,
,7100,,,8.8,-4.3993074,,,,,,
438,7113,920,16,,,,,,,,
440,7149,924,16,,,,,,,,
442,7183,928,16,,,,,,,,
,7200,,,8.2,-5.390356500000001,,,,,,
439,7214,932,16,,,,,,,,
441,7263,936,16,,,,,,,,
,7300,,,8.8,-4.5792203,,,,,,
438,7301,940,16,,,,,,,,
439,7311,944,16,,,,,,,,
440,7335,948,16,,,,,,,,
441,7357,952,16,,,,,,,,
442,7383,956,16,,,,,,,,
,7400,,,10.5,-7.6088176,,,,,,
437,7401,960,16,,,,,,,,
439,7444,964,16,,,,,,,,
440,7474,968,16,,,,,,,,
,7500,,,5.4,-2.1276107000000004,,,,,,
439,7505,972,17,,,,,,,,
440,7532,976,17,,,,,,,,
442,7573,980,17,,,,,,,,
,7600,,,12.5,-9.481066799999999,,,,,,
437,7603,984,17,,,,,,,,
439,7644,988,17,,,,,,,,
440,7677,992,17,,,,,,,,
