time/fps,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef
425,16300,2168,38,,,,,,,,
426,16336,2172,38,,,,,,,,
427,16381,2176,38,,,,,,,,
,16400,,,8.2,-3.9278079,,,,,,
426,16414,2180,38,,,,,,,,
427,16457,2184,38,,,,,,,,
427,16465,2188,38,,,,,,,,
428,16498,2192,38,,,,,,,,
,16500,,,10.0,-7.458729,,,,,,
426,16533,2196,38,,,,,,,,
426,16554,2200,38,,,,,,,,
427,16582,2204,38,,,,,,,,
,16600,,,7.8,-4.267952499999999,,,,,,
426,16609,2208,38,,,,,,,,
427,16656,2212,38,,,,,,,,
427,16673,2216,38,,,,,,,,
,16700,,,12.8,-8.643505399999999,,,,,,
425,16715,2220,39,,,,,,,,
426,16740,2224,39,,,,,,,,
426,16761,2228,39,,,,,,,,
,16800,,,6.9,-3.2674771,,,,,,
425,16801,2232,39,,,,,,,,
426,16813,2236,39,,,,,,,,
427,16863,2240,39,,,,,,,,
427,16875,2244,39,,,,,,,,
,16900,,,8.6,-4.9253979999999995,,,,,,
426,16909,2248,39,,,,,,,,
426,16944,2252,39,,,,,,,,
427,16974,2256,39,,,,,,,,
,17000,,,10.5,-6.4927811,,,,,,
426,17022,2260,39,,,,,,,,
426,17049,2264,39,,,,,,,,
427,17074,2268,39,,,,,,,,
,17100,,,8.4,-5.5407249,,,,,,
425,17115,2272,40,,,,,,,,
426,17141,2276,40,,,,,,,,
426,17158,2280,40,,,,,,,,
,17200,,,10.3,-7.1039936,,,,,,
425,17204,2284,40,,,,,,,,
425,17228,2288,40,,,,,,,,
426,17243,2292,40,,,,,,,,
426,17266,2296,40,,,,,,,,
,17300,,,9.9,-6.058241099999999,,,,,,
425,17304,2300,40,,,,,,,,
426,17345,2304,40,,,,,,,,
426,17370,2308,40,,,,,,,,
,17400,,,8.2,-4.3372252,,,,,,
425,17401,2312,40,,,,,,,,
426,17436,2316,40,,,,,,,,
426,17449,2320,40,,,,,,,,
426,17479,2324,40,,,,,,,,
427,17498,2328,40,,,,,,,,
,17500,,,6.6,-3.4267440000000007,,,,,,
426,17528,2332,41,,,,,,,,
426,17557,2336,41,,,,,,,,
427,17578,2340,41,,,,,,,,
,17600,,,8.9,-5.543315,,,,,,
426,17612,2344,41,,,,,,,,
426,17640,2348,41,,,,,,,,
427,17671,2352,41,,,,,,,,
,17700,,,6.0,-2.5323243,,,,,,
426,17709,2356,41,,,,,,,,
427,17731,2360,41,,,,,,,,
427,17777,2364,41,,,,,,,,
,17800,,,6.9,-3.6227150999999997,,,,,,
427,17812,2368,41,,,,,,,,
427,17839,2372,41,,,,,,,,
428,17871,2376,41,,,,,,,,
,17900,,,7.7,-4.0860952,,,,,,
427,17901,2380,41,,,,,,,,
427,17931,2384,41,,,,,,,,
428,17969,2388,41,,,,,,,,
428,17983,2392,41,,,,,,,,
,18000,,,10.6,-7.282413199999999,,,,,,
426,18008,2396,42,,,,,,,,
427,18051,2400,42,,,,,,,,
428,18087,2404,42,,,,,,,,
,18100,,,9.2,-5.0244292999999995,,,,,,
426,18103,2408,42,,,,,,,,
427,18139,2412,42,,,,,,,,
428,18183,2416,42,,,,,,,,
,18200,,,11.6,-7.914014799999999,,,,,,
426,18226,2420,42,,,,,,,,
427,18254,2424,42,,,,,,,,
427,18276,2428,42,,,,,,,,
427,18299,2432,42,,,,,,,,
,18300,,,8.9,-5.600440000000001,,,,,,
426,18320,2436,42,,,,,,,,
427,18354,2440,42,,,,,,,,
427,18380,2444,42,,,,,,,,
,18400,,,9.7,-5.485613799999999,,,,,,
426,18407,2448,43,,,,,,,,
426,18424,2452,43,,,,,,,,
426,18439,2456,43,,,,,,,,
427,18478,2460,43,,,,,,,,
,18500,,,9.4,-6.867091499999999,,,,,,
426,18520,2464,43,,,,,,,,
426,18553,2468,43,,,,,,,,
427,18588,2472,43,,,,,,,,
,18600,,,10.5,-6.618474999999999,,,,,,
425,18609,2476,43,,,,,,,,
426,18644,2480,43,,,,,,,,
427,18687,2484,43,,,,,,,,
,18700,,,10.0,-6.713039799999999,,,,,,
425,18716,2488,43,,,,,,,,
426,18738,2492,43,,,,,,,,
426,18763,2496,43,,,,,,,,
426,18782,2500,43,,,,,,,,
,18800,,,10.3,-7.3335774,,,,,,
424,18819,2504,44,,,,,,,,
424,18848,2508,44,,,,,,,,
425,18874,2512,44,,,,,,,,
425,18890,2516,44,,,,,,,,
,18900,,,8.5,-5.460856900000001,,,,,,
424,18928,2520,44,,,,,,,,
425,18969,2524,44,,,,,,,,
425,18992,2528,44,,,,,,,,
,19000,,,6.0,-2.6779465,,,,,,
424,19013,2532,44,,,,,,,,
425,19051,2536,44,,,,,,,,
426,19084,2540,44,,,,,,,,
,19100,,,6.4,-2.5571697,,,,,,
425,19115,2544,44,,,,,,,,
425,19152,2548,44,,,,,,,,
426,19183,2552,44,,,,,,,,
,19200,,,10.0,-6.219851899999999,,,,,,
425,19214,2556,45,,,,,,,,
425,19244,2560,45,,,,,,,,
426,19270,2564,45,,,,,,,,
426,19291,2568,45,,,,,,,,
,19300,,,9.0,-5.6639631,,,,,,
425,19329,2572,45,,,,,,,,
426,19367,2576,45,,,,,,,,
426,19386,2580,45,,,,,,,,
,19400,,,6.2,-2.2106088,,,,,,
425,19432,2584,45,,,,,,,,
426,19481,2588,45,,,,,,,,
,19500,,,5.4,-2.2712007,,,,,,
426,19520,2592,45,,,,,,,,
426,19552,2596,45,,,,,,,,
427,19584,2600,45,,,,,,,,
,19600,,,7.4,-3.8262067,,,,,,
426,19601,2604,45,,,,,,,,
426,19630,2608,46,,,,,,,,
426,19643,2612,46,,,,,,,,
427,19674,2616,46,,,,,,,,
,19700,,,8.9,-4.9001079999999995,,,,,,
426,19724,2620,46,,,,,,,,
427,19768,2624,46,,,,,,,,
,19800,,,10.8,-7.0643856,,,,,,
426,19805,2628,46,,,,,,,,
426,19828,2632,46,,,,,,,,
426,19859,2636,46,,,,,,,,
427,19881,2640,46,,,,,,,,
,19900,,,9.2,-4.7455223,,,,,,
425,19900,2644,46,,,,,,,,
426,19933,2648,46,,,,,,,,
426,19961,2652,46,,,,,,,,
427,19990,2656,46,,,,,,,,
,20000,,,8.0,-4.8427138,,,,,,
426,20035,2660,46,,,,,,,,
427,20056,2664,46,,,,,,,,
427,20084,2668,46,,,,,,,,
,20100,,,7.2,-3.751638,,,,,,
426,20122,2672,47,,,,,,,,
427,20156,2676,47,,,,,,,,
,20200,,,8.1,-4.2878865,,,,,,
426,20200,2680,47,,,,,,,,
427,20240,2684,47,,,,,,,,
428,20283,2688,47,,,,,,,,
,20300,,,8.7,-5.114883900000001,,,,,,
426,20310,2692,47,,,,,,,,
427,20338,2696,47,,,,,,,,
427,20372,2700,47,,,,,,,,
,20400,,,12.9,-9.0431827,,,,,,
426,20412,2704,47,,,,,,,,
426,20445,2708,47,,,,,,,,
427,20482,2712,47,,,,,,,,
,20500,,,9.4,-5.6455111,,,,,,
426,20512,2716,48,,,,,,,,
427,20561,2720,48,,,,,,,,
427,20596,2724,48,,,,,,,,
,20600,,,8.7,-5.312377499999999,,,,,,
426,20615,2728,48,,,,,,,,
427,20663,2732,48,,,,,,,,
427,20695,2736,48,,,,,,,,
,20700,,,8.6,-5.5080369,,,,,,
426,20714,2740,48,,,,,,,,
426,20741,2744,48,,,,,,,,
427,20770,2748,48,,,,,,,,
,20800,,,7.1,-4.1395895,,,,,,
426,20801,2752,48,,,,,,,,
427,20842,2756,48,,,,,,,,
427,20858,2760,48,,,,,,,,
,20900,,,12.6,-8.656639,,,,,,
425,20905,2764,49,,,,,,,,
426,20950,2768,49,,,,,,,,
426,20968,2772,49,,,,,,,,
427,20992,2776,49,,,,,,,,
,21000,,,5.6,-2.6247847,,,,,,
426,21022,2780,49,,,,,,,,
426,21051,2784,49,,,,,,,,
427,21087,2788,49,,,,,,,,
,21100,,,9.3,-6.4032029999999995,,,,,,
426,21125,2792,49,,,,,,,,
426,21140,2796,49,,,,,,,,
427,21162,2800,49,,,,,,,,
427,21181,2804,49,,,,,,,,
,21200,,,6.4,-3.1858466,,,,,,
426,21209,2808,49,,,,,,,,
427,21236,2812,49,,,,,,,,
427,21262,2816,49,,,,,,,,
427,21276,2820,49,,,,,,,,
,21300,,,9.0,-5.3389310000000005,,,,,,
426,21303,2824,49,,,,,,,,
426,21317,2828,49,,,,,,,,
427,21347,2832,49,,,,,,,,
427,21372,2836,49,,,,,,,,
,21400,,,9.3,-6.1324621,,,,,,
426,21403,2840,50,,,,,,,,
427,21441,2844,50,,,,,,,,
427,21463,2848,50,,,,,,,,
,21500,,,9.6,-6.311647600000001,,,,,,
426,21501,2852,50,,,,,,,,
426,21516,2856,50,,,,,,,,
426,21526,2860,50,,,,,,,,
427,21561,2864,50,,,,,,,,
,21600,,,5.7,-2.9318783999999996,,,,,,
426,21601,2868,50,,,,,,,,
427,21635,2872,50,,,,,,,,
427,21671,2876,50,,,,,,,,
,21700,,,8.2,-4.5297357,,,,,,
426,21700,2880,50,,,,,,,,
427,21722,2884,50,,,,,,,,
427,21766,2888,50,,,,,,,,
428,21790,2892,50,,,,,,,,
,21800,,,9.3,-5.8135427,,,,,,
427,21833,2896,51,,,,,,,,
427,21851,2900,51,,,,,,,,
427,21871,2904,51,,,,,,,,
,21900,,,10.4,-6.7571021,,,,,,
426,21912,2908,51,,,,,,,,
427,21946,2912,51,,,,,,,,
427,21960,2916,51,,,,,,,,
428,21990,2920,51,,,,,,,,
,22000,,,9.0,-5.2124721,,,,,,
426,22004,2924,51,,,,,,,,
426,22023,2928,51,,,,,,,,
427,22063,2932,51,,,,,,,,
,22100,,,6.3,-2.8554862,,,,,,
427,22107,2936,51,,,,,,,,
427,22150,2940,51,,,,,,,,
428,22171,2944,51,,,,,,,,
,22200,,,7.0,-3.8351059,,,,,,
427,22206,2948,51,,,,,,,,
427,22237,2952,51,,,,,,,,
428,22263,2956,51,,,,,,,,
,22300,,,9.1,-4.6214775,,,,,,
427,22311,2960,52,,,,,,,,
428,22348,2964,52,,,,,,,,
428,22389,2968,52,,,,,,,,
,22400,,,8.5,-4.5952815000000005,,,,,,
427,22403,2972,52,,,,,,,,
427,22437,2976,52,,,,,,,,
428,22462,2980,52,,,,,,,,
,22500,,,9.8,-7.2285364,,,,,,
427,22509,2984,52,,,,,,,,
428,22560,2988,52,,,,,,,,
428,22587,2992,52,,,,,,,,
,22600,,,8.8,-5.184931199999999,,,,,,
427,22613,2996,52,,,,,,,,
428,22651,3000,52,,,,,,,,
428,22692,3004,52,,,,,,,,
,22700,,,8.8,-5.3648721,,,,,,
427,22714,3008,53,,,,,,,,
428,22757,3012,53,,,,,,,,
428,22763,3016,53,,,,,,,,
,22800,,,11.8,-8.401456399999999,,,,,,
427,22809,3020,53,,,,,,,,
427,22828,3024,53,,,,,,,,
427,22850,3028,53,,,,,,,,
428,22885,3032,53,,,,,,,,
,22900,,,10.2,-6.8829443999999995,,,,,,
427,22916,3036,53,,,,,,,,
427,22972,3040,53,,,,,,,,
,23000,,,9.2,-5.4620233,,,,,,
426,23002,3044,53,,,,,,,,
427,23020,3048,53,,,,,,,,
427,23050,3052,53,,,,,,,,
428,23081,3056,53,,,,,,,,
,23100,,,8.7,-4.555965799999999,,,,,,
426,23108,3060,54,,,,,,,,
427,23128,3064,54,,,,,,,,
427,23156,3068,54,,,,,,,,
427,23179,3072,54,,,,,,,,
,23200,,,10.2,-6.4688598,,,,,,
426,23208,3076,54,,,,,,,,
427,23248,3080,54,,,,,,,,
428,23294,3084,54,,,,,,,,
,23300,,,9.2,-4.9024878,,,,,,
427,23341,3088,54,,,,,,,,
427,23372,3092,54,,,,,,,,
428,23393,3096,54,,,,,,,,
,23400,,,8.4,-4.4026505,,,,,,
426,23411,3100,54,,,,,,,,
427,23445,3104,54,,,,,,,,
427,23480,3108,54,,,,,,,,
428,23495,3112,54,,,,,,,,
,23500,,,6.7,-3.8513197000000003,,,,,,
427,23541,3116,55,,,,,,,,
428,23578,3120,55,,,,,,,,
,23600,,,11.1,-7.299811600000001,,,,,,
426,23612,3124,55,,,,,,,,
427,23628,3128,55,,,,,,,,
427,23661,3132,55,,,,,,,,
428,23692,3136,55,,,,,,,,
,23700,,,12.3,-8.8655413,,,,,,
426,23701,3140,55,,,,,,,,
426,23741,3144,55,,,,,,,,
427,23777,3148,55,,,,,,,,
,23800,,,9.3,-4.9209669,,,,,,
426,23811,3152,55,,,,,,,,
426,23844,3156,55,,,,,,,,
427,23871,3160,55,,,,,,,,
,23900,,,8.0,-5.104399600000001,,,,,,
426,23915,3164,56,,,,,,,,
426,23941,3168,56,,,,,,,,
427,23968,3172,56,,,,,,,,
427,23990,3176,56,,,,,,,,
,24000,,,8.6,-5.5242621,,,,,,
426,24027,3180,56,,,,,,,,
427,24074,3184,56,,,,,,,,
,24100,,,10.0,-5.8739149,,,,,,
426,24101,3188,56,,,,,,,,
426,24126,3192,56,,,,,,,,
426,24161,3196,56,,,,,,,,
427,24192,3200,56,,,,,,,,
,24200,,,10.5,-7.0486813999999995,,,,,,
426,24238,3204,56,,,,,,,,
426,24272,3208,56,,,,,,,,
,24300,,,7.1,-3.5277014,,,,,,
426,24309,3212,57,,,,,,,,
426,24341,3216,57,,,,,,,,
426,24361,3220,57,,,,,,,,
427,24386,3224,57,,,,,,,,
,24400,,,6.5,-3.3764254,,,,,,
426,24408,3228,57,,,,,,,,
426,24434,3232,57,,,,,,,,
427,24461,3236,57,,,,,,,,
427,24482,3240,57,,,,,,,,
,24500,,,10.5,-6.8696687,,,,,,
426,24512,3244,57,,,,,,,,
427,24565,3248,57,,,,,,,,
427,24596,3252,57,,,,,,,,
,24600,,,11.9,-8.4672532,,,,,,
426,24622,3256,57,,,,,,,,
426,24657,3260,57,,,,,,,,
426,24669,3264,57,,,,,,,,
,24700,,,10.1,-6.859218199999999,,,,,,
425,24712,3268,58,,,,,,,,
426,24749,3272,58,,,,,,,,
427,24795,3276,58,,,,,,,,
,24800,,,9.9,-5.9064934,,,,,,
425,24823,3280,58,,,,,,,,
426,24864,3284,58,,,,,,,,
426,24896,3288,58,,,,,,,,
,24900,,,11.4,-7.242131499999999,,,,,,
425,24934,3292,58,,,,,,,,
426,24969,3296,58,,,,,,,,
426,24996,3300,58,,,,,,,,
,25000,,,10.1,-6.458584300000001,,,,,,
425,25009,3304,58,,,,,,,,
425,25047,3308,58,,,,,,,,
425,25061,3312,58,,,,,,,,
426,25097,3316,58,,,,,,,,
,25100,,,9.1,-5.8267075,,,,,,
425,25112,3320,59,,,,,,,,
425,25128,3324,59,,,,,,,,
425,25147,3328,59,,,,,,,,
426,25183,3332,59,,,,,,,,
,25200,,,8.7,-4.6270398,,,,,,
425,25201,3336,59,,,,,,,,
425,25234,3340,59,,,,,,,,
425,25255,3344,59,,,,,,,,
426,25292,3348,59,,,,,,,,
,25300,,,12.0,-7.8426654,,,,,,
424,25309,3352,59,,,,,,,,
425,25332,3356,59,,,,,,,,
425,25371,3360,59,,,,,,,,
,25400,,,11.4,-7.762918400000001,,,,,,
424,25422,3364,59,,,,,,,,
425,25456,3368,59,,,,,,,,
425,25492,3372,59,,,,,,,,
,25500,,,7.7,-4.3668442,,,,,,
424,25500,3376,60,,,,,,,,
425,25538,3380,60,,,,,,,,
425,25565,3384,60,,,,,,,,
425,25578,3388,60,,,,,,,,
,25600,,,7.4,-4.5442846,,,,,,
424,25604,3392,60,,,,,,,,
425,25622,3396,60,,,,,,,,
425,25668,3400,60,,,,,,,,
,25700,,,5.7,-2.5164296,,,,,,
425,25706,3404,60,,,,,,,,
425,25738,3408,60,,,,,,,,
426,25764,3412,60,,,,,,,,
426,25790,3416,60,,,,,,,,
,25800,,,9.1,-6.4283452,,,,,,
425,25826,3420,60,,,,,,,,
426,25862,3424,60,,,,,,,,
426,25890,3428,60,,,,,,,,
,25900,,,7.3,-4.609525400000001,,,,,,
425,25938,3432,60,,,,,,,,
426,25971,3436,60,,,,,,,,
426,25986,3440,60,,,,,,,,
,26000,,,8.3,-4.7073056,,,,,,
425,26030,3444,61,,,,,,,,
426,26056,3448,61,,,,,,,,
426,26080,3452,61,,,,,,,,
,26100,,,11.8,-8.090046500000001,,,,,,
425,26101,3456,61,,,,,,,,
425,26112,3460,61,,,,,,,,
425,26134,3464,61,,,,,,,,
425,26158,3468,61,,,,,,,,
,26200,,,9.0,-6.6533534,,,,,,
425,26202,3472,61,,,,,,,,
425,26238,3476,61,,,,,,,,
425,26264,3480,61,,,,,,,,
426,26281,3484,61,,,,,,,,
,26300,,,9.0,-6.1421396999999995,,,,,,
425,26308,3488,61,,,,,,,,
425,26357,3492,61,,,,,,,,
426,26376,3496,61,,,,,,,,
,26400,,,10.3,-6.211413299999999,,,,,,
424,26406,3500,62,,,,,,,,
425,26449,3504,62,,,,,,,,
425,26471,3508,62,,,,,,,,
,26500,,,8.5,-4.8353731,,,,,,
424,26505,3512,62,,,,,,,,
425,26537,3516,62,,,,,,,,
425,26563,3520,62,,,,,,,,
,26600,,,11.5,-8.149241999999997,,,,,,
424,26605,3524,62,,,,,,,,
424,26623,3528,62,,,,,,,,
425,26662,3532,62,,,,,,,,
425,26687,3536,62,,,,,,,,
,26700,,,7.3,-3.6197991000000003,,,,,,
425,26729,3540,62,,,,,,,,
425,26766,3544,62,,,,,,,,
426,26797,3548,62,,,,,,,,
,26800,,,10.4,-6.6861779,,,,,,
424,26823,3552,63,,,,,,,,
425,26872,3556,63,,,,,,,,
,26900,,,12.2,-8.173199499999999,,,,,,
424,26909,3560,63,,,,,,,,
424,26937,3564,63,,,,,,,,
425,26985,3568,63,,,,,,,,
425,26996,3572,63,,,,,,,,
,27000,,,8.6,-5.8093764,,,,,,
424,27036,3576,63,,,,,,,,
425,27078,3580,63,,,,,,,,
,27100,,,7.7,-4.217174000000001,,,,,,
424,27120,3584,63,,,,,,,,
424,27147,3588,63,,,,,,,,
425,27184,3592,63,,,,,,,,
,27200,,,7.7,-4.4808778,,,,,,
424,27205,3596,64,,,,,,,,
425,27238,3600,64,,,,,,,,
425,27268,3604,64,,,,,,,,
425,27284,3608,64,,,,,,,,
,27300,,,8.2,-5.371369800000001,,,,,,
424,27322,3612,64,,,,,,,,
425,27358,3616,64,,,,,,,,
,27400,,,8.0,-4.521465,,,,,,
424,27404,3620,64,,,,,,,,
424,27418,3624,64,,,,,,,,
425,27449,3628,64,,,,,,,,
425,27483,3632,64,,,,,,,,
,27500,,,10.4,-6.9793505,,,,,,
424,27508,3636,64,,,,,,,,
425,27551,3640,64,,,,,,,,
425,27591,3644,64,,,,,,,,
,27600,,,8.5,-4.2345642,,,,,,
424,27618,3648,65,,,,,,,,
425,27672,3652,65,,,,,,,,
,27700,,,7.9,-4.3896626,,,,,,
424,27718,3656,65,,,,,,,,
424,27726,3660,65,,,,,,,,
424,27742,3664,65,,,,,,,,
424,27752,3668,65,,,,,,,,
425,27785,3672,65,,,,,,,,
,27800,,,10.4,-7.3622905,,,,,,
423,27821,3676,65,,,,,,,,
424,27844,3680,65,,,,,,,,
424,27888,3684,65,,,,,,,,
,27900,,,7.4,-4.4188896,,,,,,
424,27924,3688,65,,,,,,,,
424,27967,3692,65,,,,,,,,
,28000,,,10.3,-6.9569752,,,,,,
423,28001,3696,66,,,,,,,,
423,28030,3700,66,,,,,,,,
424,28058,3704,66,,,,,,,,
424,28086,3708,66,,,,,,,,
,28100,,,12.6,-8.8528292,,,,,,
422,28115,3712,66,,,,,,,,
423,28149,3716,66,,,,,,,,
423,28198,3720,66,,,,,,,,
,28200,,,12.0,-7.7833581999999994,,,,,,
422,28215,3724,66,,,,,,,,
422,28253,3728,66,,,,,,,,
423,28287,3732,66,,,,,,,,
,28300,,,8.5,-5.067414600000001,,,,,,
422,28317,3736,67,,,,,,,,
422,28357,3740,67,,,,,,,,
423,28381,3744,67,,,,,,,,
,28400,,,9.4,-5.32143,,,,,,
421,28400,3748,67,,,,,,,,
422,28435,3752,67,,,,,,,,
422,28461,3756,67,,,,,,,,
422,28482,3760,67,,,,,,,,
,28500,,,6.8,-3.7276879000000003,,,,,,
422,28502,3764,67,,,,,,,,
422,28549,3768,67,,,,,,,,
422,28575,3772,67,,,,,,,,
,28600,,,10.4,-7.2473176,,,,,,
422,28631,3776,67,,,,,,,,
422,28643,3780,67,,,,,,,,
422,28685,3784,67,,,,,,,,
,28700,,,8.3,-4.2828937,,,,,,
421,28708,3788,68,,,,,,,,
422,28733,3792,68,,,,,,,,
422,28767,3796,68,,,,,,,,
422,28797,3800,68,,,,,,,,
,28800,,,9.0,-4.9216066,,,,,,
422,28834,3804,68,,,,,,,,
422,28860,3808,68,,,,,,,,
422,28899,3812,68,,,,,,,,
,28900,,,8.5,-4.2131218,,,,,,
422,28935,3816,68,,,,,,,,
422,28981,3820,68,,,,,,,,
,29000,,,8.4,-5.3711722,,,,,,
422,29029,3824,68,,,,,,,,
422,29052,3828,68,,,,,,,,
422,29090,3832,68,,,,,,,,
,29100,,,8.9,-6.3447551,,,,,,
421,29120,3836,69,,,,,,,,
422,29172,3840,69,,,,,,,,
422,29194,3844,69,,,,,,,,
,29200,,,5.6,-2.1066554,,,,,,
422,29236,3848,69,,,,,,,,
422,29268,3852,69,,,,,,,,
,29300,,,9.5,-6.504648,,,,,,
421,29316,3856,69,,,,,,,,
422,29337,3860,69,,,,,,,,
422,29366,3864,69,,,,,,,,
422,29395,3868,69,,,,,,,,
,29400,,,11.6,-8.1391831,,,,,,
421,29439,3872,69,,,,,,,,
421,29460,3876,69,,,,,,,,
421,29480,3880,69,,,,,,,,
,29500,,,9.6,-4.8598405,,,,,,
420,29519,3884,70,,,,,,,,
421,29554,3888,70,,,,,,,,
,29600,,,6.1,-3.3897836,,,,,,
420,29602,3892,70,,,,,,,,
421,29647,3896,70,,,,,,,,
421,29689,3900,70,,,,,,,,
,29700,,,10.3,-6.2670465,,,,,,
420,29714,3904,70,,,,,,,,
420,29736,3908,70,,,,,,,,
421,29760,3912,70,,,,,,,,
421,29795,3916,70,,,,,,,,
,29800,,,9.8,-5.588211299999999,,,,,,
420,29851,3920,70,,,,,,,,
421,29877,3924,70,,,,,,,,
,29900,,,11.1,-7.9431761000000005,,,,,,
420,29917,3928,71,,,,,,,,
420,29932,3932,71,,,,,,,,
420,29965,3936,71,,,,,,,,
,30000,,,8.3,-5.5461195000000005,,,,,,
418,30013,3940,71,,,0.3529569208621979,-0.055402979254722595,0.0009969882376866589,-2.8633599281311035,12,0.9890910983085632
416,30038,3944,72,,,0.1874934434890747,-0.18141944706439972,0.000996985732673148,-2.898366689682007,37,0.9647350311279297
416,30050,3948,72,,,0.15568432211875916,-0.23973025381565094,0.0009969845302688987,-2.9245219230651855,49,0.953258216381073
414,30083,3952,72,,,0.1530802845954895,-0.4074280858039856,0.00099698122366469,-2.8954672813415527,82,0.9223933815956116
,30100,,,9.8,-6.586066100000001,0.14519497752189636,-0.49198412895202637,0.0009969795202668017,-2.8071718215942383,99,0.9068886637687683
410,30118,3956,73,,,0.11604543030261993,-0.5830944180488586,0.0009969777166722099,-2.818845272064209,117,0.8907659649848938
408,30158,3960,73,,,0.12558197975158691,-0.7813592553138733,0.0009969737086959099,-2.657808303833008,157,0.8559722304344177
405,30196,3964,74,,,0.1141756996512413,-0.975393533706665,0.000996969901133349,-2.6515965461730957,195,0.8241777420043945
,30200,,,7.6,-3.5650340999999997,0.11965764313936234,-0.9917788505554199,0.0009969695003381358,-2.625288486480713,199,0.8209013938903809
403,30214,3968,74,,,0.11615899205207825,-1.0636969804763794,0.0009969680975561589,-2.5507149696350098,213,0.809540867805481
402,30229,3972,75,,,0.11905279010534286,-1.1358535289764404,0.0009969665945776594,-2.567718982696533,228,0.7975409030914307
400,30262,3976,75,,,0.10974106937646866,-1.303305983543396,0.0009969632880329363,-2.436648368835449,261,0.7717790603637695
398,30287,3980,75,,,0.09054678678512573,-1.4182193279266357,0.0009969607830821136,-2.398491382598877,286,0.7528237700462341
,30300,,,12.0,-8.3150938,0.09310273826122284,-1.489597201347351,0.000996959480510173,-2.4192960262298584,299,0.7431505918502808
394,30330,3984,76,,,0.1016382947564125,-1.6472938060760498,0.0009969564745814213,-2.487252712249756,329,0.721301257610321
392,30361,3988,77,,,0.10028967261314392,-1.797165870666504,0.0009969533684645658,-2.323370933532715,360,0.699392557144165
390,30399,3992,77,,,0.10100853443145752,-1.98896324634552,0.0009969495609796868,-2.2870755195617676,398,0.6734544634819031
,30400,,,9.7,-5.908777199999999,0.09786553680896759,-1.9863643646240234,0.0009969494607829127,-2.250150442123413,399,0.672785222530365
386,30442,3996,78,,,0.1076340526342392,-2.207770347595215,0.0009969452525274924,-2.19936203956604,441,0.645268440246582
385,30469,4000,79,,,0.10194513201713562,-2.338322162628174,0.0009969425472298166,-2.2571282386779785,468,0.6281832456588745
383,30497,4004,79,,,0.09780481457710266,-2.4574763774871826,0.0009969397417436848,-2.1198015213012695,496,0.6109277606010437
,30500,,,7.4,-3.6988496,0.10314901918172836,-2.495587110519409,0.000996939441156353,-2.199719190597534,499,0.6091079115867615
380,30530,4008,80,,,0.08898568153381348,-2.6465535163879395,0.000996936435288022,-2.0478787422180176,529,0.591203510761261
380,30543,4012,80,,,0.09088447690010071,-2.698505163192749,0.000996935132747893,-2.0453929901123047,542,0.5836113691329956
378,30584,4016,80,,,0.09287545084953308,-2.9112160205841064,0.0009969310247478643,-1.9547207355499268,583,0.5602951645851135
,30600,,,10.1,-5.8888386,0.0900421142578125,-2.9717893600463867,0.0009969294216304939,-1.8963886499404907,599,0.5514488816261292
376,30613,4020,81,,,0.07688465714454651,-3.0409343242645264,0.0009969281190995284,-1.8401315212249756,612,0.5443673729896545
374,30656,4024,81,,,0.0971011146903038,-3.258925199508667,0.000996923810739998,-1.7882068157196045,655,0.5215758085250854
372,30698,4028,82,,,0.08252203464508057,-3.484570264816284,0.00099691960259285,-1.767063021659851,697,0.5002295970916748
,30700,,,10.1,-5.749271700000001,0.07872933149337769,-3.4790186882019043,0.0009969194022053337,-1.7749760150909424,699,0.499234139919281
369,30733,4032,83,,,0.0852113887667656,-3.6497268676757812,0.000996916095817129,-1.6911242008209229,732,0.48310187458992004
367,30781,4036,83,,,0.07727055251598358,-3.892023801803589,0.0009969112865447706,-1.5869953632354736,780,0.46057388186454773
,30800,,,5.8,-2.3539229999999995,0.0934501439332962,-3.982356309890747,0.0009969093828808714,-1.5670279264450073,799,0.45194101333618164
366,30802,4040,84,,,0.08522418141365051,-3.9841055870056152,0.0009969091824954092,-1.5473036766052246,801,0.4510419964790344
365,30812,4044,84,,,0.08047141879796982,-4.039970397949219,0.000996908180568703,-1.5269336700439453,811,0.44657501578330994
364,30850,4048,84,,,0.08633352816104889,-4.243352890014648,0.0009969043732564018,-1.4592331647872925,849,0.4299810230731964
363,30866,4052,84,,,0.08508029580116272,-4.344561576843262,0.0009969027701818883,-1.4277069568634033,865,0.4231797158718109
362,30896,4056,85,,,0.08713342249393463,-4.4620866775512695,0.0009968997644241235,-1.425527811050415,895,0.4107167720794678
,30900,,,8.9,-4.923198999999999,0.0801820456981659,-4.485898971557617,0.0009968993636571063,-1.3330307006835938,899,0.4090843200683594
359,30931,4060,85,,,0.08524264395236969,-4.6645097732543945,0.0009968962577181855,-1.2911372184753418,930,0.3966416120529175
358,30956,4064,86,,,0.07754786312580109,-4.791942119598389,0.000996893752935782,-1.2806955575942993,955,0.38688042759895325
357,30986,4068,86,,,0.09193503856658936,-4.92432975769043,0.000996890747205205,-1.1671454906463623,985,0.3754810690879822
