#{"t_start": 1734959629.2051036, "env_id": "GraspEnv_v3"}
r,l,t
-7.326641,14,8.058553
-8.538441,14,8.084631
-11.02996,14,8.10973
-13.959116,14,8.18279
-0.674125,4,8.191943
-8.937634,14,8.215924
-0.247562,3,8.221946
-10.90053,14,8.246924
-1.914804,4,8.254917
-0.662076,3,8.26092
-9.117749,14,8.286965
-13.381386,14,8.313077
0.143152,3,8.320085
-3.354789,6,8.375155
-7.322765,14,8.403325
-4.957881,8,8.420309
-13.594114,14,8.447342
-11.167177,14,8.474325
-0.259476,3,8.483382
-8.372652,14,8.515546
-8.533622,14,8.542546
-2.074184,6,8.555546
0.910674,1,8.559546
0.927897,1,8.611913
-7.42851,14,8.639884
-4.095425,7,8.652892
-10.659825,14,8.677924
-7.442009,14,8.704061
0.972334,1,8.707063
-8.015455,12,8.729068
-6.464795,12,8.753073
-10.092467,14,8.77712
-1.154104,4,8.785165
-9.951579,14,8.861729
-0.770869,3,8.868739
-11.301137,14,8.893477
-12.625276,14,8.919484
-8.013973,14,8.943467
-3.138266,6,8.954463
0.097692,3,8.960453
-2.931179,11,8.981516
0.927393,1,8.98451
-11.206837,14,9.007699
0.19412,3,9.055702
0.9015,1,9.05871
-2.721586,6,9.071702
0.995877,1,9.075813
-10.207022,14,9.103951
-7.011002,14,9.128973
-11.327326,14,9.153992
-0.061062,2,9.158958
-10.236511,14,9.183985
0.836594,1,9.185989
-9.986715,14,9.257105
-10.811155,14,9.282144
0.477583,2,9.287151
0.988585,1,9.289149
0.260322,2,9.294428
-4.647628,8,9.309434
-5.378539,12,9.331426
-8.309856,14,9.358437
-10.210328,14,9.38252
-3.300624,9,9.398829
0.176597,2,9.447823
-10.093522,14,9.47682
0.849402,1,9.479861
-9.97561,14,9.505055
-11.689067,14,9.531056
-12.928708,14,9.556089
-10.741916,14,9.580099
-9.120361,14,9.605213
-12.221332,14,9.630215
0.421333,2,9.635204
-5.19882,10,9.703635
-0.510061,3,9.710639
-8.099329,14,9.737636
0.003819,2,9.741637
-0.003153,2,9.746636
0.944972,1,9.749647
-6.121139,9,9.76566
-11.515476,14,9.790679
-8.364842,14,9.816309
-9.146907,14,9.842309
-13.84223,14,9.912541
-7.14515,14,9.938535
-7.178858,14,9.96353
-9.794532,14,9.988654
-4.248916,7,10.002779
-7.63684,14,10.027788
-12.917215,14,10.053777
-0.859677,4,10.06181
-4.260278,8,10.076777
-0.447398,3,10.082819
-3.807907,7,10.141179
-1.119656,4,10.151169
-0.023535,3,10.158194
-0.153413,2,10.163162
-3.634405,9,10.179253
-3.193237,8,10.193909
-11.645538,14,10.218938
-7.36062,14,10.242909
-11.651985,14,10.267921
-4.554343,8,10.28203
-13.450862,14,10.362733
-5.655184,11,10.391798
-13.012921,14,10.421477
-4.035432,8,10.436465
-3.015531,7,10.449458
-9.849977,14,10.475464
-8.543612,14,10.502181
-5.059906,10,10.520151
-12.795149,14,10.545187
-12.33679,14,10.570151
-5.379599,10,10.631847
-3.820385,6,10.644844
-3.550278,6,10.65685
-4.816662,7,10.671867
-11.503339,14,10.698147
-8.889907,14,10.724152
-10.613115,14,10.75014
-13.430725,14,10.774138
-12.750324,14,10.800417
-9.252193,14,10.827435
-7.631634,12,10.899608
0.907289,1,10.903627
-10.74934,14,10.930608
-0.441396,3,10.93663
-4.525146,8,10.951634
-9.587903,14,10.978607
0.989023,1,10.981667
-0.665823,4,10.989667
-9.204222,14,11.015736
-8.747533,14,11.04373
-6.719579,10,11.116414
-9.486188,12,11.139459
-6.222092,11,11.158462
-9.131219,14,11.182466
-8.978443,11,11.202052
0.884342,1,11.205049
-2.77902,9,11.222043
-0.269435,3,11.229045
0.321597,3,11.235056
-9.173966,14,11.261045
-13.22276,14,11.333333
-2.838594,7,11.346364
0.031146,2,11.351332
-13.434445,14,11.377337
-0.427878,3,11.383369
-9.555206,14,11.411529
0.901662,1,11.415545
-13.716893,14,11.442533
-9.179298,14,11.468537
-12.391118,14,11.495595
0.97395,1,11.53872
-0.881053,5,11.55272
0.981581,1,11.55672
0.845198,1,11.56072
-3.219819,7,11.582814
0.134817,3,11.588774
-11.8635,14,11.615058
-0.130209,3,11.622055
-9.202184,14,11.648053
-5.018027,9,11.664067
-8.796589,14,11.74881
-3.975506,7,11.761785
-10.816384,14,11.787862
-13.510822,14,11.812461
0.398618,2,11.816454
-11.290938,14,11.84246
-0.152906,3,11.849476
-11.410012,14,11.874455
-9.550713,14,11.900682
0.117411,2,11.906661
-12.102727,14,11.982728
-1.700214,5,11.993732
-10.102136,14,12.021951
-8.099575,11,12.042951
-7.664524,14,12.069942
-9.287202,14,12.097095
-5.376009,13,12.124737
-6.650699,14,12.151757
0.411562,2,12.157728
0.947983,1,12.16076
-7.592709,14,12.238415
0.094923,2,12.243414
-0.688667,3,12.250457
0.826617,1,12.253443
-7.091563,12,12.277441
-5.786631,10,12.296501
-9.5129,14,12.323911
0.430064,3,12.331887
-2.817882,7,12.345922
-9.222413,14,12.371929
-13.109081,14,12.448629
-11.102245,14,12.475655
-10.766449,14,12.504775
-9.563053,14,12.532789
-11.065233,14,12.561782
-2.374814,7,12.576781
0.940434,1,12.579772
-0.055419,3,12.585829
0.637163,2,12.590825
-12.173526,14,12.617925
-9.553485,14,12.69598
-9.426244,14,12.725124
-2.591545,5,12.737117
-3.656032,10,12.758115
-4.174432,10,12.779129
-1.898273,4,12.789162
0.191025,2,12.795158
-7.089484,10,12.816298
0.083562,2,12.822278
-6.781961,13,12.85027
-4.969474,8,12.908625
-3.338579,8,12.926642
-12.641558,14,12.958625
-9.286842,14,12.988685
0.814126,1,12.991705
-11.29799,14,13.019948
-8.501921,14,13.048901
-2.241053,7,13.06391
-10.68749,14,13.092977
-9.636013,14,13.121173
-7.367462,14,13.195257
-1.041325,3,13.202381
-0.740156,3,13.209381
-10.104181,14,13.236383
0.120537,2,13.241374
-3.40785,6,13.253374
-1.233217,4,13.262381
-3.323046,6,13.274381
-0.941575,5,13.284374
0.212655,2,13.289416
-7.240362,13,13.36105
-8.385084,14,13.389116
0.902617,1,13.392126
-10.06272,14,13.421753
-4.068503,9,13.439727
-0.552875,4,13.448724
0.561671,2,13.453727
-0.859622,3,13.460717
-10.761293,14,13.489763
-10.760572,14,13.516031
-4.747823,9,13.58003
-0.037661,2,13.585068
-11.480266,14,13.613822
0.534061,2,13.619845
-0.784264,4,13.628823
-8.732356,14,13.655827
-12.697708,14,13.684814
-7.542974,14,13.714528
-9.038606,14,13.741542
-9.637024,14,13.76951
-4.246692,9,13.83427
-4.470448,8,13.852269
-3.50828,7,13.867271
0.898773,1,13.870298
-6.131971,11,13.893354
-8.439899,14,13.9225
-1.473592,5,13.93349
-8.972438,14,13.962519
-0.575665,4,13.971483
-5.412603,9,13.991539
-10.436993,14,14.06494
-2.845122,6,14.076928
-2.524565,6,14.089982
-2.436357,7,14.10562
-11.746656,14,14.132604
0.384177,2,14.137627
-6.36075,11,14.160643
-4.420524,9,14.179628
-10.543814,14,14.206803
-2.918043,6,14.218803
-5.585919,8,14.274807
-2.406653,6,14.288846
-0.736361,3,14.301979
0.940625,1,14.304979
-0.845289,4,14.314973
0.483535,2,14.319972
0.903508,1,14.322998
-8.552487,14,14.350967
-1.835582,5,14.361974
-0.63852,4,14.370979
-9.954197,14,14.459366
0.895409,1,14.462359
-9.500196,14,14.490398
-1.041086,3,14.498404
-2.626687,7,14.515023
-12.158016,14,14.543017
-7.791666,14,14.574021
0.573179,2,14.580024
-4.307218,8,14.598072
-9.226034,14,14.627194
-11.003996,14,14.696241
-1.328222,5,14.708389
0.890748,1,14.713408
-9.938059,14,14.741402
-6.307793,14,14.768396
-13.065085,14,14.794452
-13.644332,14,14.823562
0.522176,2,14.828593
-11.942809,14,14.859564
0.983854,1,14.863562
-12.917277,14,14.939275
-0.028911,4,14.948274
-5.790338,14,14.97729
-1.273436,6,14.991373
0.952279,1,14.995386
0.933385,1,14.998364
-11.408422,14,15.028017
0.405373,2,15.034022
-1.349335,4,15.044023
-13.661853,14,15.072023
-8.71114,14,15.153257
-10.135696,14,15.180231
-11.120848,14,15.209493
-2.37269,5,15.220498
-0.300564,3,15.227478
0.868318,1,15.230482
-9.759935,14,15.259478
-9.991315,14,15.288535
-7.761228,14,15.318719
-0.315824,3,15.32671
-8.942499,14,15.40077
-10.104363,14,15.430356
-4.838366,12,15.455361
-3.817599,10,15.475349
-11.499017,14,15.506032
-9.729131,14,15.535052
-4.32682,9,15.556033
-2.941889,8,15.573046
-1.96621,6,15.586033
-3.913993,8,15.602076
-6.868024,14,15.681769
0.883874,1,15.684732
-11.884968,14,15.71246
-1.542941,6,15.725487
0.161909,3,15.732481
-11.333005,14,15.759454
0.843702,1,15.762448
0.201996,3,15.771447
-1.605094,5,15.783454
-12.261637,14,15.810704
-12.87998,14,15.887719
-10.73819,14,15.916878
-12.433273,14,15.945879
-11.35981,14,15.976879
-13.855077,14,16.008086
-7.526983,14,16.040109
-11.43593,14,16.069079
-7.706538,14,16.097183
-0.357219,4,16.107344
-12.841719,14,16.134336
-1.708028,5,16.18434
-5.727123,9,16.204386
0.88168,1,16.208508
-7.508289,12,16.232547
-11.002612,14,16.259542
-1.862822,4,16.268516
-11.789877,14,16.295562
-3.914417,8,16.311722
-5.073374,10,16.331731
-2.730288,7,16.347716
-7.200173,14,16.425921
0.870027,1,16.428931
-8.565173,14,16.456913
-5.82891,12,16.481915
-6.052721,9,16.502045
-12.758571,14,16.532654
0.371796,2,16.537683
-9.77259,14,16.566697
-12.108551,14,16.593803
-10.261284,14,16.621466
-13.897141,14,16.69856
0.913946,1,16.702538
-13.639709,14,16.730661
-0.057628,3,16.73865
-13.529861,14,16.767677
-7.003573,13,16.79173
0.090464,3,16.798743
-0.571687,4,16.807926
-0.321542,3,16.815927
-12.352448,14,16.847941
0.969241,1,16.894986
-12.263925,14,16.929325
-0.893507,4,16.938325
-0.985338,4,16.948315
-11.186366,14,16.976343
-11.523209,14,17.004386
-11.186968,14,17.037612
-8.509827,14,17.068653
0.003688,2,17.074602
0.884771,1,17.078618
-11.549975,14,17.155851
-13.348333,14,17.182822
-9.894232,14,17.212021
-5.450021,8,17.230016
-11.324288,14,17.263018
-12.21052,14,17.295062
-8.485766,14,17.326193
-0.606032,3,17.334193
-12.53961,14,17.363188
-4.349023,10,17.384212
-8.553652,14,17.459004
-9.992345,14,17.485986
0.931971,1,17.489975
-4.431283,9,17.507598
-7.908161,13,17.534644
-10.968179,14,17.566662
0.206516,3,17.573639
-9.787982,14,17.602683
-8.706438,14,17.629939
-6.888927,14,17.661949
-8.951383,14,17.742622
-0.92929,5,17.75365
-10.491327,14,17.781629
-0.483758,4,17.790629
-0.257321,4,17.79969
0.855987,1,17.803713
-1.583848,4,17.812318
-1.372823,5,17.823338
-2.30575,5,17.834322
-3.97759,11,17.858339
-10.670264,14,17.930542
-10.222185,14,17.958542
-1.36331,5,17.969574
-7.47355,14,17.996626
0.197186,2,18.002625
0.113128,2,18.007611
-0.960888,3,18.014307
-3.449665,7,18.029262
0.876586,1,18.033274
-12.832505,14,18.064276
-1.044701,4,18.117004
-5.984884,12,18.145997
-10.451627,14,18.173997
-0.057983,2,18.178991
-10.750396,14,18.210241
-7.944073,14,18.238241
-6.364531,14,18.267275
-11.042318,14,18.29425
-11.140084,14,18.321554
-2.604115,7,18.336553
-8.122404,14,18.411297
-0.891854,3,18.419303
-0.499741,3,18.426338
-4.754878,9,18.445302
-8.454221,13,18.470321
-1.78473,5,18.481303
0.829584,1,18.484337
-8.090885,14,18.512577
-5.473696,12,18.537561
-6.750249,14,18.565562
-9.144336,14,18.641251
0.601271,2,18.646255
-11.704519,14,18.675262
-13.956385,14,18.702373
0.474747,2,18.707345
-9.27119,14,18.735964
0.076952,2,18.74197
-0.414486,4,18.750962
-10.561258,14,18.778977
-0.004361,2,18.784974
-0.988483,4,18.834639
0.93825,1,18.838683
-8.243702,14,18.867678
0.033739,2,18.872642
-5.357923,9,18.891642
-0.051718,4,18.900745
-7.604518,14,18.930324
-8.034357,14,18.958309
-9.316683,14,18.987309
-7.166808,12,19.01157
-10.331835,14,19.099593
-12.132632,14,19.127905
0.038545,2,19.132869
-12.29225,14,19.16289
-9.71241,14,19.190868
-0.782811,4,19.199925
-7.566151,14,19.228145
0.878461,1,19.231165
-12.301169,14,19.261142
-11.885924,14,19.289136
-7.830621,14,19.36137
-2.094976,6,19.374361
0.950138,1,19.377361
0.288795,3,19.386393
0.641001,2,19.391363
-9.766299,14,19.419657
-1.75673,4,19.428678
-2.871624,6,19.441664
0.768326,2,19.447661
0.395883,2,19.454688
-10.600558,14,19.530148
-11.854839,14,19.558161
-12.382231,14,19.58518
-8.235519,14,19.611784
-7.569434,11,19.633832
-11.723299,14,19.660856
-12.429014,14,19.690864
-9.673162,14,19.719118
-10.847285,14,19.748128
0.504673,2,19.753089
-9.16672,14,19.831287
-7.285294,11,19.853294
-8.930831,14,19.881329
-3.274756,9,19.899347
-11.101774,14,19.929647
-8.783086,14,19.958652
-2.866387,5,19.969641
-6.166754,14,20.000701
-8.142279,14,20.028384
-11.232791,14,20.058395
-13.151839,14,20.134759
-7.969274,14,20.164797
-7.301302,14,20.193798
-0.758407,4,20.203875
0.870981,1,20.207868
-8.877701,14,20.238514
-10.597762,14,20.268505
-1.733833,5,20.279505
0.821188,1,20.283511
-7.972043,13,20.309545
-9.547553,14,20.390196
-7.879422,14,20.42046
-6.943808,14,20.448458
-1.987192,4,20.457443
-11.872465,14,20.487469
-8.986293,14,20.515636
-13.14986,14,20.544609
-1.797138,5,20.555619
0.844916,1,20.558634
-0.881414,3,20.565605
-0.622994,3,20.617836
-3.085411,8,20.636833
-12.070291,14,20.666864
-8.101537,14,20.695831
0.950977,1,20.699884
0.485468,2,20.705897
-3.681694,7,20.721025
-0.706602,4,20.730048
-1.754743,5,20.742044
-4.582915,9,20.760023
-5.844701,9,20.830215
-11.316627,14,20.859216
-11.292725,14,20.888223
-2.649223,6,20.901328
-5.862511,9,20.920574
-10.565143,14,20.948584
-7.098188,14,20.976569
-0.20302,3,20.983568
-9.437087,14,21.010621
0.962273,1,21.014619
0.958317,1,21.061724
-11.427305,14,21.094732
-9.305517,14,21.122945
-10.551549,14,21.150954
-0.362732,5,21.161983
-5.343008,13,21.186941
-10.985007,14,21.214009
-9.943134,14,21.241631
-11.809594,14,21.271655
-7.811841,14,21.299635
-0.684359,4,21.355348
0.832148,1,21.358348
-2.758467,6,21.372341
-0.486989,3,21.379339
-9.750135,14,21.406383
-7.32267,14,21.434965
-12.772801,14,21.462981
0.607103,2,21.469973
-8.938285,14,21.497962
0.833575,1,21.501036
-1.544328,4,21.558626
-13.179667,14,21.588635
-10.703667,14,21.617988
-6.679678,11,21.640984
-11.071806,14,21.668993
-10.878409,14,21.700026
-3.856532,10,21.720723
-5.794538,14,21.748714
-0.879436,3,21.755714
-7.466275,14,21.783717
-1.109112,6,21.843468
-10.148754,14,21.874477
-3.253281,7,21.889478
-6.284875,11,21.913529
-13.071311,14,21.943191
0.814851,1,21.946211
-3.472252,11,21.969171
0.494382,2,21.974179
-8.195078,14,22.002253
-2.010766,6,22.016264
-11.861814,14,22.089867
-13.665078,14,22.119597
0.970426,1,22.123598
-7.312341,14,22.151591
-13.537716,14,22.182598
-2.41012,6,22.196613
-10.751616,14,22.224897
-3.221134,6,22.238899
-1.915437,5,22.249928
-0.796858,3,22.256902
-8.21675,14,22.328221
-11.070804,14,22.358219
-3.12321,10,22.379224
-8.335315,14,22.40834
0.82013,1,22.412312
-4.609007,11,22.436461
0.182415,2,22.441455
0.892778,1,22.445455
-5.677429,9,22.462492
-8.629269,14,22.492455
0.984021,1,22.539133
-13.454288,14,22.572126
-13.010413,14,22.60016
-11.301154,14,22.627868
0.895493,1,22.630844
-2.077963,4,22.640885
-13.851217,14,22.667842
-11.871659,14,22.69484
-12.818416,14,22.725003
-0.242096,4,22.734004
-5.410968,10,22.804066
-0.653969,5,22.815053
-12.145209,14,22.84415
-9.017928,14,22.874146
-12.376524,14,22.902181
-12.476898,14,22.932378
-11.481001,14,22.961366
0.91897,1,22.96537
-13.219776,14,22.99437
-2.33703,7,23.008441
-5.020033,11,23.080134
-2.267529,6,23.094116
0.82311,1,23.097135
-2.662626,6,23.110169
-7.532054,13,23.136769
-11.499865,14,23.162775
-4.255175,7,23.177793
-6.681476,14,23.205853
-11.133943,14,23.234026
0.614618,2,23.24001
-8.513611,14,23.318043
0.89759,1,23.320707
-1.71046,4,23.329734
-3.30169,8,23.346714
-0.454752,3,23.353701
-7.610475,14,23.38171
-10.237633,14,23.414764
-7.761134,14,23.443455
0.961774,1,23.44643
-11.287313,14,23.473436
-0.730615,3,23.527644
-8.068799,12,23.554645
-5.537827,12,23.579645
-1.067492,4,23.588638
-0.519127,3,23.595646
-6.720529,14,23.624013
0.910556,1,23.627037
0.943334,1,23.631051
-6.276516,14,23.660038
-1.976273,7,23.675034
0.173482,2,23.730744
-8.238675,14,23.764762
-0.831545,3,23.771744
-6.772515,14,23.799744
-5.243339,13,23.825445
-9.019877,14,23.853417
-0.870733,3,23.861459
-0.687054,3,23.871424
-12.810066,14,23.898417
-12.092787,14,23.928587
0.299979,3,23.98663
0.870337,1,23.991589
-11.447333,14,24.022865
-1.551475,4,24.031885
-4.24735,11,24.054867
-11.402311,14,24.082888
-0.073617,2,24.088857
-1.374869,5,24.099875
-10.155721,14,24.130434
-2.382687,6,24.143394
-1.823859,5,24.198427
-2.351543,8,24.217508
-11.644953,14,24.245099
-10.791404,14,24.274098
-2.576077,5,24.285099
-0.892592,3,24.292129
-8.286967,11,24.317171
-1.210561,4,24.326305
-10.562596,14,24.353299
-2.368396,7,24.368257
-5.791794,10,24.439
-1.413275,4,24.449999
-8.107266,14,24.478961
-2.023835,4,24.487983
-2.676856,5,24.498986
0.962182,1,24.502959
0.413537,3,24.510009
-2.684605,6,24.523627
-8.413846,14,24.553628
-0.425321,3,24.560639
0.829388,1,24.613694
0.421377,2,24.619704
0.35997,2,24.626039
0.963143,1,24.630049
0.8168,1,24.635055
-0.996306,3,24.643045
0.983146,1,24.647069
0.890961,1,24.650078
-4.400788,8,24.66705
-9.941031,14,24.696046
0.547093,2,24.757778
-10.149678,14,24.786741
-13.704824,14,24.815789
-1.436399,4,24.824349
-12.410293,14,24.851356
-1.578742,5,24.862347
-11.470174,14,24.889358
-12.119454,14,24.919422
-9.137188,14,24.948555
0.176404,2,24.953582
-1.001908,3,25.003603
-7.220602,11,25.031832
-5.688234,8,25.051919
-9.81064,14,25.083831
0.138136,2,25.090868
-0.652207,3,25.098848
-1.278397,5,25.113048
-1.944293,4,25.122013
0.885803,1,25.125393
-0.907527,3,25.132324
-13.225506,14,25.21843
0.168068,2,25.22632
-10.761103,14,25.256363
-1.263421,5,25.270368
-6.69482,14,25.303281
0.824108,1,25.307297
-4.801503,8,25.325083
-2.941174,6,25.341095
0.13515,2,25.348071
-10.71763,14,25.37711
-11.846471,14,25.445765
-1.083221,5,25.457744
-11.24342,14,25.485742
-6.771064,14,25.515795
0.819208,1,25.519829
-8.730055,14,25.548946
-13.751696,14,25.576948
-9.344706,13,25.603951
-2.777577,6,25.616999
-7.683411,13,25.642222
-11.712228,14,25.71727
-0.427688,3,25.724292
-11.207583,14,25.754466
-11.850051,14,25.781488
0.363074,2,25.786468
-7.791705,14,25.816509
-4.916669,14,25.845125
-3.385648,10,25.870114
-1.222344,4,25.87912
-11.291536,14,25.908138
-13.715549,14,25.980783
-10.574967,14,26.011842
-8.56761,14,26.042021
-9.061594,14,26.069993
-8.42516,14,26.097984
-1.030171,4,26.106993
-13.477673,14,26.135406
-7.590865,14,26.163387
-2.078634,7,26.178374
0.116444,2,26.183401
-11.645222,14,26.258091
-8.264891,14,26.285093
-1.195555,4,26.294118
-9.873556,14,26.322128
-7.228626,14,26.349308
-3.399833,10,26.37031
-5.347288,14,26.398324
0.872465,1,26.402313
-4.868923,11,26.429571
-11.193491,14,26.45857
-9.252676,14,26.536747
-2.380232,7,26.552751
0.945577,1,26.556754
-7.044858,11,26.587749
-10.780238,14,26.615804
-6.142273,14,26.644021
-10.176957,14,26.672019
-7.437666,14,26.700012
-11.612856,14,26.728388
-8.971195,14,26.755358
-12.960291,14,26.832043
0.829165,1,26.837049
-9.532077,14,26.866023
-5.454195,10,26.887024
-3.564847,6,26.900023
-13.084771,14,26.930771
-0.32677,3,26.93876
-12.743555,14,26.966746
-8.02943,14,26.994753
-9.919991,14,27.023794
-7.773782,14,27.100425
0.874298,1,27.103415
0.969899,1,27.106424
-5.718113,11,27.130131
-10.196096,14,27.157136
0.251632,2,27.162161
-3.995894,8,27.178144
-3.508574,8,27.194142
-6.651596,14,27.222184
-5.409535,12,27.245799
-0.684437,4,27.318857
-13.899907,14,27.348556
-2.655609,7,27.363549
-4.410303,10,27.383509
-2.655841,7,27.398525
-1.776731,4,27.408524
-3.807495,6,27.422571
-2.206672,5,27.432748
-1.140687,4,27.441738
-0.096687,3,27.447736
-0.81184,4,27.503746
0.264929,2,27.510745
-8.094778,14,27.540403
-2.636272,7,27.55541
-6.665436,10,27.576403
