#{"t_start": 1734959629.2051036, "env_id": "GraspEnv_v3"}
r,l,t
-2.658677,7,2.567058
-10.320709,14,2.591151
0.188863,2,2.596151
-5.194753,9,2.613164
0.825477,1,2.616183
-2.761425,5,2.626168
0.928501,1,2.629152
-6.664675,12,2.650151
0.95701,1,2.653156
-11.043212,14,2.677213
-13.556105,14,2.771555
-0.46149,3,2.778529
0.967329,1,2.781185
-12.306419,14,2.806196
-12.302553,14,2.830189
-9.783509,14,2.855221
-10.90534,14,2.8798
-13.032294,14,2.905857
0.924437,1,2.910857
-0.864168,5,2.922842
-7.899424,14,3.004393
-1.969166,9,3.020421
-10.17726,14,3.046415
-3.871217,7,3.059384
-8.835634,14,3.087035
-13.659938,14,3.115076
0.618337,2,3.120034
0.5773,2,3.125041
-9.97928,14,3.149048
0.977933,1,3.152035
-0.145366,5,3.203766
-12.622335,14,3.230767
0.87793,1,3.233766
-7.789126,14,3.25977
-12.136844,14,3.285443
0.634241,2,3.290441
-8.752047,14,3.315432
-10.921198,14,3.343434
0.869515,1,3.346432
-2.235411,7,3.360434
0.361658,2,3.411188
-11.3005,14,3.440179
-12.143119,14,3.466232
-9.615373,14,3.489828
-10.802131,14,3.514813
-0.742359,6,3.527834
0.856402,1,3.530818
-12.278622,14,3.556826
-7.940508,14,3.58248
-10.153683,14,3.608486
0.926334,1,3.65549
0.91635,1,3.659497
-2.669776,8,3.675558
-0.049651,2,3.679585
-5.802867,10,3.699227
-7.927656,14,3.723188
-3.941101,10,3.740216
-9.677449,14,3.765194
-12.331079,14,3.791468
0.849656,1,3.794466
-12.957785,14,3.869538
-9.831785,14,3.895731
-3.880497,9,3.914685
-11.634433,14,3.940688
-8.786643,14,3.965686
-0.790773,4,3.973743
-13.889137,14,4.000156
-7.487617,14,4.026171
-0.62384,3,4.033165
-2.535067,7,4.046165
-11.624151,14,4.115888
-9.016988,14,4.140888
-0.777603,5,4.150929
-10.584908,14,4.175922
-5.445874,14,4.200243
-9.674468,14,4.226241
0.813058,1,4.229245
-13.51238,14,4.253248
-11.822423,14,4.280309
-5.518667,14,4.303935
-4.445758,7,4.370031
-0.6261,3,4.377056
-8.084863,14,4.403189
-4.273646,10,4.423189
-9.109414,14,4.449186
0.025411,3,4.456191
-7.641237,13,4.480256
-2.499913,7,4.492407
-6.766253,13,4.515415
0.686023,2,4.519433
-2.570785,8,4.581488
-8.021821,11,4.603648
-1.287558,5,4.613646
-4.418202,7,4.627643
-8.164897,14,4.652624
-1.463754,4,4.660634
-1.006154,6,4.672741
-9.989627,14,4.69687
-8.771142,14,4.725848
-9.455446,14,4.750842
-3.968409,8,4.809153
-2.786667,6,4.821172
-8.001405,14,4.847123
-4.705291,7,4.860173
-9.202138,14,4.88437
-13.197482,14,4.910342
-12.703531,14,4.939332
-2.242361,5,4.949342
0.599868,2,4.954335
-8.061983,14,4.978381
-10.833258,14,5.055924
-11.174429,14,5.081979
-12.349245,14,5.10665
-0.62094,4,5.114631
-0.669038,3,5.120644
0.814804,1,5.123635
-0.65893,3,5.129629
0.906538,1,5.131625
-1.283587,5,5.141619
-12.333924,14,5.169674
0.990357,1,5.219919
0.948595,1,5.223901
-0.663011,3,5.229877
0.817112,1,5.232886
-1.895536,8,5.247879
-10.941199,13,5.274962
-2.144113,7,5.290073
-6.508941,9,5.307061
-13.115248,14,5.332053
-0.128786,3,5.340062
0.045977,2,5.400779
-7.584399,14,5.430773
-8.503747,14,5.456779
0.889728,1,5.458779
-1.699053,5,5.468772
-4.315445,7,5.481824
-2.473586,5,5.491495
-10.086752,14,5.516468
0.583036,2,5.522466
-10.828563,14,5.546493
-10.604359,14,5.620919
0.893628,1,5.623908
-11.948836,14,5.649894
-10.188239,14,5.675939
0.928616,1,5.678946
-7.687459,13,5.703601
-9.890691,14,5.732582
-9.007359,14,5.756593
-0.85116,5,5.767581
-0.924434,4,5.77663
0.94049,1,5.820791
-8.501672,14,5.851789
-4.139943,8,5.866778
0.369909,2,5.871822
-12.072034,14,5.898221
-4.036811,14,5.925226
0.951999,1,5.928217
0.443671,2,5.933226
-7.383791,14,5.95826
-7.554441,12,5.98127
-3.950987,9,6.044947
-10.084616,14,6.072975
-12.06701,14,6.097236
-3.366272,7,6.110241
-9.904639,14,6.150313
0.838485,1,6.153311
0.649545,2,6.16023
-2.612331,9,6.176286
-0.102066,2,6.180286
-10.24883,14,6.21008
-6.898371,12,6.283131
-0.730487,3,6.289778
-7.147613,13,6.312763
-13.11879,14,6.337788
-8.460019,14,6.361749
0.931515,1,6.364756
-0.976913,4,6.371789
0.123846,3,6.379797
0.830652,1,6.3828
-9.029021,11,6.403951
0.874181,1,6.446965
-3.638863,9,6.467961
-4.301744,11,6.488095
-2.491178,6,6.50012
-1.432431,6,6.512108
-6.953251,9,6.528093
-6.394862,14,6.553095
-10.904386,14,6.577134
0.37031,2,6.581134
-11.621044,14,6.607437
0.909489,1,6.654446
-9.887651,14,6.683564
-1.935862,7,6.696173
0.610086,2,6.701194
-10.831785,14,6.72517
-8.283611,12,6.746167
-7.895686,14,6.770162
-10.296329,14,6.797356
-10.588795,14,6.823372
-3.911049,6,6.835377
-9.929893,14,6.912604
-4.442208,8,6.928597
-5.588778,9,6.945608
0.921565,1,6.948637
-1.915826,5,6.959608
-0.338153,3,6.965632
-7.636899,14,6.990762
-11.378627,14,7.015755
-8.288359,14,7.03975
-10.234181,14,7.064755
-2.914425,7,7.125071
-1.086296,4,7.134066
-1.517627,4,7.142066
-5.401489,12,7.164107
-2.852248,6,7.176098
-0.922,3,7.182101
-0.416165,4,7.189194
-3.400107,9,7.205194
-4.031702,6,7.216196
-0.314661,3,7.222194
-9.400395,14,7.305671
-11.314129,14,7.330668
-1.002032,3,7.337682
-8.783111,14,7.362681
-2.47201,5,7.372766
-1.341647,4,7.380795
-9.510888,14,7.40744
-10.38623,14,7.434429
0.222705,2,7.439434
-0.117819,3,7.445477
0.233787,2,7.504019
-8.111672,14,7.531006
-8.823636,14,7.556014
-4.191319,10,7.574036
-12.186633,14,7.599658
0.369172,3,7.606651
-0.428664,3,7.611667
-7.786906,14,7.637679
-10.921674,14,7.662665
0.090438,2,7.667696
-9.818619,14,7.739374
-7.360858,14,7.765365
0.971631,1,7.768376
-4.656066,8,7.782444
-0.022478,2,7.786418
0.09396,3,7.794056
-7.707895,14,7.819059
-0.620397,4,7.827068
-7.091927,11,7.848061
-4.139116,9,7.865067
-10.901627,14,7.940406
-9.449373,14,7.966407
-0.479528,3,7.972404
0.859221,1,7.975445
0.133467,3,7.981447
-11.040526,14,8.006559
-9.170086,14,8.031559
